[2026-03-28T10:28:04.403Z] GET https://crates.io/crates/jsonschema → pending (?ms, ?B)
[2026-03-28T10:29:26.913Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.913Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.913Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.913Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.913Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.913Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.052Z] GET https://crates.io/crates/infers-jsonschema → 200 (126ms, 3476B)
[2026-03-28T10:29:27.088Z] GET https://crates.io/api/v1/crates/genson-rs/owner_user → pending (?ms, ?B)
[2026-03-28T10:29:27.088Z] GET https://crates.io/assets/cargo.png → 200 (?ms, ?B)
[2026-03-28T10:29:27.088Z] GET https://crates.io/api/v1/crates/genson-rs/0.2.0/readme → pending (?ms, ?B)
[2026-03-28T10:29:27.088Z] GET https://docs.rs/crate/genson-rs/0.2.0/status.json → pending (?ms, ?B)
[2026-03-28T10:29:27.089Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, ?B)
[2026-03-28T10:29:27.089Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, ?B)
[2026-03-28T10:29:27.089Z] GET https://crates.io/api/v1/crates/genson-rs/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:27.089Z] GET https://crates.io/api/v1/crates/genson-rs/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:27.183Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:27.184Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:27.184Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:27.184Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:27.184Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:27.184Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (1ms, 7677B)
[2026-03-28T10:29:27.214Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.214Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.214Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (1ms, ?B)
[2026-03-28T10:29:27.216Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.216Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.216Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.216Z] GET https://crates.io/api/v1/crates/infers-jsonschema?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (150ms, ?B)
[2026-03-28T10:29:27.357Z] GET https://crates.io/crates/json-schema-generator → 200 (168ms, 3480B)
[2026-03-28T10:29:27.388Z] GET https://crates.io/api/v1/crates/infers-jsonschema/owner_user → 200 (138ms, ?B)
[2026-03-28T10:29:27.388Z] GET https://crates.io/assets/cargo.png → 200 (?ms, ?B)
[2026-03-28T10:29:27.388Z] GET https://crates.io/api/v1/crates/infers-jsonschema/0.1.0/readme → 302 (137ms, ?B)
[2026-03-28T10:29:27.388Z] GET https://docs.rs/crate/infers-jsonschema/0.1.0/status.json → pending (?ms, ?B)
[2026-03-28T10:29:27.388Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, ?B)
[2026-03-28T10:29:27.388Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, ?B)
[2026-03-28T10:29:27.388Z] GET https://crates.io/api/v1/crates/infers-jsonschema/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:27.388Z] GET https://crates.io/api/v1/crates/infers-jsonschema/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:27.525Z] GET https://static.crates.io/readmes/infers-jsonschema/infers-jsonschema-0.1.0.html → pending (?ms, ?B)
[2026-03-28T10:29:27.530Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (1ms, ?B)
[2026-03-28T10:29:27.531Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:27.531Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:27.531Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:27.531Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (1ms, 1474292B)
[2026-03-28T10:29:27.532Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:27.566Z] GET https://crates.io/api/v1/crates/json-schema-generator?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (146ms, ?B)
[2026-03-28T10:29:27.566Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.566Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.566Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.566Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.566Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.566Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (1ms, ?B)
[2026-03-28T10:29:27.705Z] GET https://crates.io/crates/schemaui → pending (?ms, ?B)
[2026-03-28T10:29:27.730Z] GET https://crates.io/api/v1/crates/json-schema-generator/owner_user → pending (?ms, ?B)
[2026-03-28T10:29:27.730Z] GET https://crates.io/assets/cargo.png → 200 (1ms, ?B)
[2026-03-28T10:29:27.731Z] GET https://crates.io/api/v1/crates/json-schema-generator/0.1.1/readme → pending (?ms, ?B)
[2026-03-28T10:29:27.731Z] GET https://docs.rs/crate/json-schema-generator/0.1.1/status.json → pending (?ms, ?B)
[2026-03-28T10:29:27.731Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, ?B)
[2026-03-28T10:29:27.731Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, ?B)
[2026-03-28T10:29:27.731Z] GET https://crates.io/api/v1/crates/json-schema-generator/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:27.731Z] GET https://crates.io/api/v1/crates/json-schema-generator/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:27.866Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:27.867Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:27.867Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:27.867Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:27.867Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:27.868Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:27.902Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.902Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.902Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.902Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.903Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.903Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:27.903Z] GET https://crates.io/api/v1/crates/schemaui?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (133ms, 3884B)
[2026-03-28T10:29:28.059Z] GET https://crates.io/api/v1/crates/schemaui/owner_user → 200 (137ms, ?B)
[2026-03-28T10:29:28.059Z] GET https://crates.io/assets/cargo.png → 200 (?ms, 60046B)
[2026-03-28T10:29:28.059Z] GET https://crates.io/api/v1/crates/schemaui/0.4.3/readme → pending (?ms, ?B)
[2026-03-28T10:29:28.059Z] GET https://docs.rs/crate/schemaui/0.4.3/status.json → pending (?ms, ?B)
[2026-03-28T10:29:28.059Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, ?B)
[2026-03-28T10:29:28.059Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, 199897B)
[2026-03-28T10:29:28.059Z] GET https://crates.io/api/v1/crates/schemaui/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:28.059Z] GET https://crates.io/api/v1/crates/schemaui/owner_team → 200 (132ms, ?B)
[2026-03-28T10:29:28.061Z] GET https://crates.io/crates/typify → 200 (160ms, 3465B)
[2026-03-28T10:29:28.198Z] GET https://avatars.githubusercontent.com/u/127641096?v=4&s=64 → pending (?ms, ?B)
[2026-03-28T10:29:28.227Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Light.woff → pending (?ms, ?B)
[2026-03-28T10:29:28.228Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (1ms, ?B)
[2026-03-28T10:29:28.229Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:28.229Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:28.229Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:28.229Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (1ms, 1474292B)
[2026-03-28T10:29:28.230Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:28.267Z] GET https://crates.io/api/v1/crates/typify?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → pending (?ms, ?B)
[2026-03-28T10:29:28.267Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:28.267Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:28.267Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:28.268Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:28.268Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:28.268Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:28.789Z] GET https://crates.io/api/v1/crates/typify/owner_user → 200 (397ms, 169B)
[2026-03-28T10:29:28.789Z] GET https://crates.io/assets/cargo.png → 200 (?ms, 60046B)
[2026-03-28T10:29:28.789Z] GET https://crates.io/api/v1/crates/typify/0.6.1/readme → 302 (426ms, ?B)
[2026-03-28T10:29:28.789Z] GET https://docs.rs/crate/typify/0.6.1/status.json → 200 (162ms, 37B)
[2026-03-28T10:29:28.790Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, 27416B)
[2026-03-28T10:29:28.790Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, 199897B)
[2026-03-28T10:29:28.790Z] GET https://crates.io/api/v1/crates/typify/downloads?include=versions → 200 (747ms, 31682B)
[2026-03-28T10:29:28.790Z] GET https://crates.io/api/v1/crates/typify/owner_team → 200 (403ms, 12B)
[2026-03-28T10:29:29.195Z] GET https://avatars.githubusercontent.com/u/677483?v=4&s=64 → 200 (20ms, 2158B)
[2026-03-28T10:29:29.216Z] GET https://static.crates.io/readmes/typify/typify-0.6.1.html → 200 (26ms, 17261B)
[2026-03-28T10:29:29.267Z] GET https://crates.io/api/v1/site_metadata → 200 (402ms, 151B)
[2026-03-28T10:29:33.275Z] GET https://crates.io/crates/jsondiffpatch → 200 (126ms, 3472B)
[2026-03-28T10:29:33.405Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:33.405Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:33.406Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:33.406Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:33.406Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:33.406Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:33.411Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:33.411Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:33.411Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:33.411Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:33.411Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:33.411Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (1ms, ?B)
[2026-03-28T10:29:33.445Z] GET https://crates.io/api/v1/crates/jsondiffpatch?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (149ms, 3258B)
[2026-03-28T10:29:33.620Z] GET https://crates.io/api/v1/crates/jsondiffpatch/owner_user → pending (?ms, ?B)
[2026-03-28T10:29:33.620Z] GET https://crates.io/assets/cargo.png → 200 (?ms, 60046B)
[2026-03-28T10:29:33.620Z] GET https://crates.io/api/v1/crates/jsondiffpatch/0.1.0/readme → pending (?ms, ?B)
[2026-03-28T10:29:33.620Z] GET https://docs.rs/crate/jsondiffpatch/0.1.0/status.json → pending (?ms, ?B)
[2026-03-28T10:29:33.620Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, 27416B)
[2026-03-28T10:29:33.620Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, 199897B)
[2026-03-28T10:29:33.620Z] GET https://crates.io/api/v1/crates/jsondiffpatch/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:33.620Z] GET https://crates.io/api/v1/crates/jsondiffpatch/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:33.846Z] GET https://static.crates.io/readmes/jsondiffpatch/jsondiffpatch-0.1.0.html → 200 (508ms, 10905B)
[2026-03-28T10:29:34.045Z] GET https://avatars.githubusercontent.com/u/22362177?v=4&s=64 → 200 (131ms, 2044B)
[2026-03-28T10:29:34.446Z] GET https://crates.io/api/v1/site_metadata → 200 (134ms, 151B)
[2026-03-28T10:29:51.967Z] GET https://crates.io/crates/assert-json-diff → 200 (153ms, 3475B)
[2026-03-28T10:29:52.124Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (1ms, ?B)
[2026-03-28T10:29:52.125Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:52.125Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:52.125Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:52.125Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:52.125Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (1ms, 7677B)
[2026-03-28T10:29:52.130Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.130Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.130Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.130Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.130Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.130Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (1ms, ?B)
[2026-03-28T10:29:52.163Z] GET https://crates.io/api/v1/crates/assert-json-diff?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (150ms, ?B)
[2026-03-28T10:29:52.225Z] GET https://crates.io/crates/genson-rs → 200 (128ms, 3468B)
[2026-03-28T10:29:52.336Z] GET https://crates.io/api/v1/crates/assert-json-diff/owner_user → pending (?ms, ?B)
[2026-03-28T10:29:52.336Z] GET https://crates.io/assets/cargo.png → 200 (?ms, ?B)
[2026-03-28T10:29:52.337Z] GET https://crates.io/api/v1/crates/assert-json-diff/2.0.2/readme → pending (?ms, ?B)
[2026-03-28T10:29:52.337Z] GET https://docs.rs/crate/assert-json-diff/2.0.2/status.json → pending (?ms, ?B)
[2026-03-28T10:29:52.337Z] GET https://play.rust-lang.org/meta/crates → 200 (?ms, ?B)
[2026-03-28T10:29:52.337Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, ?B)
[2026-03-28T10:29:52.337Z] GET https://crates.io/api/v1/crates/assert-json-diff/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:52.337Z] GET https://crates.io/api/v1/crates/assert-json-diff/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:52.357Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:52.357Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:52.357Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:52.357Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:52.357Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (1ms, 1474292B)
[2026-03-28T10:29:52.358Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:52.388Z] GET https://crates.io/api/v1/crates/genson-rs?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → pending (?ms, ?B)
[2026-03-28T10:29:52.389Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.389Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.389Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.389Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.389Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.389Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.445Z] GET https://crates.io/crates/infers-jsonschema → 200 (149ms, 3476B)
[2026-03-28T10:29:52.611Z] GET https://crates.io/assets/cargo.png → 200 (?ms, ?B)
[2026-03-28T10:29:52.612Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (1ms, ?B)
[2026-03-28T10:29:52.613Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:52.613Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:52.613Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:52.613Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:52.613Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:52.617Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.618Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.618Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.618Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.618Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.618Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.650Z] GET https://crates.io/api/v1/crates/infers-jsonschema?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → pending (?ms, ?B)
[2026-03-28T10:29:52.708Z] GET https://crates.io/crates/json-schema-generator → pending (?ms, ?B)
[2026-03-28T10:29:52.889Z] GET https://crates.io/api/v1/crates/infers-jsonschema/owner_user → pending (?ms, ?B)
[2026-03-28T10:29:52.889Z] GET https://crates.io/assets/cargo.png → 200 (?ms, ?B)
[2026-03-28T10:29:52.890Z] GET https://crates.io/api/v1/crates/infers-jsonschema/0.1.0/readme → pending (?ms, ?B)
[2026-03-28T10:29:52.890Z] GET https://docs.rs/crate/infers-jsonschema/0.1.0/status.json → pending (?ms, ?B)
[2026-03-28T10:29:52.890Z] GET https://play.rust-lang.org/meta/crates → pending (?ms, ?B)
[2026-03-28T10:29:52.890Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, ?B)
[2026-03-28T10:29:52.890Z] GET https://crates.io/api/v1/crates/infers-jsonschema/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:52.890Z] GET https://crates.io/api/v1/crates/infers-jsonschema/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:52.892Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:52.892Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:52.892Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:52.893Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:52.893Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:52.893Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:52.897Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.897Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.897Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.897Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.897Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.897Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:52.926Z] GET https://crates.io/api/v1/crates/json-schema-generator?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (150ms, ?B)
[2026-03-28T10:29:52.984Z] GET https://crates.io/crates/schemaui → 200 (161ms, 3467B)
[2026-03-28T10:29:53.099Z] GET https://crates.io/api/v1/crates/json-schema-generator/owner_user → pending (?ms, ?B)
[2026-03-28T10:29:53.100Z] GET https://crates.io/assets/cargo.png → 200 (?ms, ?B)
[2026-03-28T10:29:53.100Z] GET https://crates.io/api/v1/crates/json-schema-generator/0.1.1/readme → pending (?ms, ?B)
[2026-03-28T10:29:53.100Z] GET https://docs.rs/crate/json-schema-generator/0.1.1/status.json → pending (?ms, ?B)
[2026-03-28T10:29:53.100Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, ?B)
[2026-03-28T10:29:53.100Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, ?B)
[2026-03-28T10:29:53.100Z] GET https://crates.io/api/v1/crates/json-schema-generator/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:53.100Z] GET https://crates.io/api/v1/crates/json-schema-generator/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:53.150Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:53.150Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:53.150Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
